"Batch","Character","Page","Section","File","FullPath"
"B","Elefanka Grin Side View","elefanka-grin-side-view.html","Original Drawing","Elefanka Grin Side View ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Elefanka Grin Side View ORIGINAL.jpg"
"B","Elephant Grin","elephant-grin.html","Original Drawing","Elephant Grin ORIGINAL 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Elephant Grin ORIGINAL 2.jpg"
"B","Elephant Grin","elephant-grin.html","Original Drawing","Elephant Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Elephant Grin ORIGINAL.jpg"
"B","Elephant Grin","elephant-grin.html","Original Drawing","Elephant Grin ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Elephant Grin ORIGINAL COLOR.jpg"
"B","Elmo Grin","elmo-grin.html","Original Drawing","Elmo Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Elmo Grin ORIGINAL.jpg"
"B","Elmo Grin","elmo-grin.html","Digitized Versions","Elmo Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Elmo Grin B&W.jpg"
"B","Elmo Grin","elmo-grin.html","Digitized Versions","Elmo Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Elmo Grin COLOR.jpg"
"B","Eminem Grin","eminem-grin.html","Original Drawing","Eminem Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Eminem Grin ORIGINAL.jpg"
"B","Eminem Grin","eminem-grin.html","Digitized Versions","Eminem Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Eminem Grin B&W.jpg"
"B","Ernie Grin","ernie-grin.html","Original Drawing","Ernie Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Ernie Grin ORIGINAL.jpg"
"B","Ernie Grin","ernie-grin.html","Original Drawing","Ernie Grin ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Ernie Grin ORIGINAL COLOR.jpg"
"B","Ernie Grin","ernie-grin.html","Digitized Versions","Ernie Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Ernie Grin COLOR.jpg"
"B","EZ Nuts Grin","ez-nuts-grin.html","Original Drawing","EZ Nuts Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\EZ Nuts Grin ORIGINAL.jpg"
"B","EZ Nuts Grin","ez-nuts-grin.html","Digitized Versions","EZ Nuts Grin B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\EZ Nuts Grin B&W.png"
"B","Fat Stormtrooper Grin","fat-stormtrooper-grin.html","Original Drawing","Fat Stormtrooper Grin back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Fat Stormtrooper Grin back ORIGINAL.jpg"
