"FileName","FullPath","RelativePathFromRepo","RelativePathFromSketchesImages","FolderRelativeToSketchesImages","CategoryGuess","SubcategoryGuess","Extension","SizeBytes","LastWriteTime","ImageKindGuess","WorkNameGuess","GroupKey","PublicImageURL","GoogleSheetsImageFormula","Width","Height","DimensionStatus"
"light-cult-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\light-cult-hero.jpg","images\Sketches\light-cult-hero.jpg","light-cult-hero.jpg","","(root)","",".jpg","143182","5/6/2026 6:18:37 AM","Main or unclassified","light cult hero","|light cult hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/light-cult-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/light-cult-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/light-cult-hero.jpg"",1))","","","Not read"
"monkeys-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\monkeys-hero.jpg","images\Sketches\monkeys-hero.jpg","monkeys-hero.jpg","","(root)","",".jpg","129391","5/6/2026 6:18:37 AM","Main or unclassified","monkeys hero","|monkeys hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/monkeys-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/monkeys-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/monkeys-hero.jpg"",1))","","","Not read"
"mythical-beings-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\mythical-beings-hero.jpg","images\Sketches\mythical-beings-hero.jpg","mythical-beings-hero.jpg","","(root)","",".jpg","126634","5/6/2026 6:18:37 AM","Main or unclassified","mythical beings hero","|mythical beings hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/mythical-beings-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/mythical-beings-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/mythical-beings-hero.jpg"",1))","","","Not read"
"objects-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\objects-hero.jpg","images\Sketches\objects-hero.jpg","objects-hero.jpg","","(root)","",".jpg","115007","5/6/2026 6:18:37 AM","Main or unclassified","objects hero","|objects hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/objects-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/objects-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/objects-hero.jpg"",1))","","","Not read"
"pigs.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\pigs.jpg","images\Sketches\pigs.jpg","pigs.jpg","","(root)","",".jpg","128389","5/6/2026 6:18:37 AM","Main or unclassified","pigs","|pigs","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/pigs.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/pigs.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/pigs.jpg"",1))","","","Not read"
"reptiles-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\reptiles-hero.jpg","images\Sketches\reptiles-hero.jpg","reptiles-hero.jpg","","(root)","",".jpg","110741","5/6/2026 6:18:37 AM","Main or unclassified","reptiles hero","|reptiles hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/reptiles-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/reptiles-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/reptiles-hero.jpg"",1))","","","Not read"
"salamanders-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\salamanders-hero.jpg","images\Sketches\salamanders-hero.jpg","salamanders-hero.jpg","","(root)","",".jpg","170198","5/6/2026 6:18:37 AM","Main or unclassified","salamanders hero","|salamanders hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/salamanders-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/salamanders-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/salamanders-hero.jpg"",1))","","","Not read"
"skeletons-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\skeletons-hero.jpg","images\Sketches\skeletons-hero.jpg","skeletons-hero.jpg","","(root)","",".jpg","162332","5/6/2026 6:18:37 AM","Main or unclassified","skeletons hero","|skeletons hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/skeletons-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/skeletons-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/skeletons-hero.jpg"",1))","","","Not read"
"sketches-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\sketches-hero.jpg","images\Sketches\sketches-hero.jpg","sketches-hero.jpg","","(root)","",".jpg","186934","5/6/2026 6:18:37 AM","Main or unclassified","sketches hero","|sketches hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/sketches-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/sketches-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/sketches-hero.jpg"",1))","","","Not read"
"small-mammals-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\small-mammals-hero.jpg","images\Sketches\small-mammals-hero.jpg","small-mammals-hero.jpg","","(root)","",".jpg","117820","5/6/2026 6:18:37 AM","Main or unclassified","small mammals hero","|small mammals hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/small-mammals-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/small-mammals-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/small-mammals-hero.jpg"",1))","","","Not read"
"Bobsnail B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails\Bobsnail B&W.png","images\Sketches\Snails\Bobsnail B&W.png","Snails\Bobsnail B&W.png","Snails","Snails","",".png","91525","5/10/2026 6:59:55 AM","Main or unclassified","Bobsnail B&W","snails|bobsnail b and w","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Snails/Bobsnail%20B%26W.png","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Snails/Bobsnail%20B%26W.png""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Snails/Bobsnail%20B%26W.png"",1))","","","Not read"
