"WorkNameDraft","CategoryGuess","SubcategoryGuess","FolderRelativeToSketchesImages","ImageCount","HeroFileName","HeroPublicURL","HeroGoogleSheetsImageFormula","OriginalImageFileNames","OriginalImageURLs","OtherViewFileNames","OtherViewURLs","DigitalImageFileNames","DigitalImageURLs","ColorImageFileNames","ColorImageURLs","MainOrUnclassifiedFileNames","MainOrUnclassifiedURLs","AllImageFileNames","AllImageURLs","GroupKey","NeedsReview"
"mythical beings hero","(root)","","","1","mythical-beings-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/mythical-beings-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/mythical-beings-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/mythical-beings-hero.jpg"",1))","","","","","","","","","mythical-beings-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/mythical-beings-hero.jpg","mythical-beings-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/mythical-beings-hero.jpg","|mythical beings hero","LOW - single image"
"objects hero","(root)","","","1","objects-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/objects-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/objects-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/objects-hero.jpg"",1))","","","","","","","","","objects-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/objects-hero.jpg","objects-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/objects-hero.jpg","|objects hero","LOW - single image"
"pigs","(root)","","","1","pigs.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/pigs.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/pigs.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/pigs.jpg"",1))","","","","","","","","","pigs.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/pigs.jpg","pigs.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/pigs.jpg","|pigs","LOW - single image"
"reptiles hero","(root)","","","1","reptiles-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/reptiles-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/reptiles-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/reptiles-hero.jpg"",1))","","","","","","","","","reptiles-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/reptiles-hero.jpg","reptiles-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/reptiles-hero.jpg","|reptiles hero","LOW - single image"
"salamanders hero","(root)","","","1","salamanders-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/salamanders-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/salamanders-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/salamanders-hero.jpg"",1))","","","","","","","","","salamanders-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/salamanders-hero.jpg","salamanders-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/salamanders-hero.jpg","|salamanders hero","LOW - single image"
"skeletons hero","(root)","","","1","skeletons-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/skeletons-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/skeletons-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/skeletons-hero.jpg"",1))","","","","","","","","","skeletons-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/skeletons-hero.jpg","skeletons-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/skeletons-hero.jpg","|skeletons hero","LOW - single image"
"sketches hero","(root)","","","1","sketches-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/sketches-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/sketches-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/sketches-hero.jpg"",1))","","","","","","","","","sketches-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/sketches-hero.jpg","sketches-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/sketches-hero.jpg","|sketches hero","LOW - single image"
"small mammals hero","(root)","","","1","small-mammals-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/small-mammals-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/small-mammals-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/small-mammals-hero.jpg"",1))","","","","","","","","","small-mammals-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/small-mammals-hero.jpg","small-mammals-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/small-mammals-hero.jpg","|small mammals hero","LOW - single image"
"snails hero","(root)","","","1","snails-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/snails-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/snails-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/snails-hero.jpg"",1))","","","","","","","","","snails-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/snails-hero.jpg","snails-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/snails-hero.jpg","|snails hero","LOW - single image"
"tots hero","(root)","","","1","tots-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/tots-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/tots-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/tots-hero.jpg"",1))","","","","","","","","","tots-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/tots-hero.jpg","tots-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/tots-hero.jpg","|tots hero","LOW - single image"
