"Name","Extension","RelativePath","FullPath","IsProtectedByBridgeAudit","SizeBytes","SizeReadable","LastWriteTime","Recommendation"
"Popeye Butthead Grin COLOR.jpg",".jpg","images\Sketches\grins\Popeye Butthead Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Popeye Butthead Grin COLOR.jpg","False","462430","451.59 KB","5/8/2026 6:53:03 AM","Candidate for removal later if not needed by bridge"
"Hawaiian Punch Grin COLOR.jpg",".jpg","images\Sketches\grins\Hawaiian Punch Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Hawaiian Punch Grin COLOR.jpg","False","462130","451.30 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Bart side 2 COLOR.png",".png","images\Sketches\celebrity-characters\Simpsons\Bart side 2 COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Simpsons\Bart side 2 COLOR.png","False","461532","450.71 KB","5/8/2026 11:02:34 AM","Candidate for removal later if not needed by bridge"
"Stormtrooper Grin COLOR.jpg",".jpg","images\Sketches\grins\Stormtrooper Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Stormtrooper Grin COLOR.jpg","False","460539","449.75 KB","5/8/2026 6:53:03 AM","Candidate for removal later if not needed by bridge"
"Grin animation back COLOR.jpg",".jpg","images\Sketches\grins\Grin animation back COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Grin animation back COLOR.jpg","False","460529","449.74 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"40-Year-Old Fetus COLOR.jpg",".jpg","images\Sketches\Mythical Beings\Mythical Humans\40-Year-Old Fetus COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Mythical Beings\Mythical Humans\40-Year-Old Fetus COLOR.jpg","False","459183","448.42 KB","5/9/2026 7:10:01 AM","Candidate for removal later if not needed by bridge"
"backdrop (2).jpg",".jpg","images\Sketches\Objects\patterns-symbols-and-icons\backdrop (2).jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\patterns-symbols-and-icons\backdrop (2).jpg","False","459129","448.37 KB","5/9/2026 11:41:59 AM","Candidate for removal later if not needed by bridge"
"Kiss Skull Gene ORIGINAL.jpg",".jpg","images\Sketches\Skeletons\Kiss Skull Gene ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Skeletons\Kiss Skull Gene ORIGINAL.jpg","False","458676","447.93 KB","5/9/2026 10:30:47 AM","Candidate for removal later if not needed by bridge"
"Robbie Spray Grin B&W.jpg",".jpg","images\Sketches\grins\Robbie Spray Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Robbie Spray Grin B&W.jpg","False","458011","447.28 KB","5/8/2026 6:52:45 AM","Candidate for removal later if not needed by bridge"
"Tony Tiger Grin 2 B&W.jpg",".jpg","images\Sketches\grins\Tony Tiger Grin 2 B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Tony Tiger Grin 2 B&W.jpg","False","456889","446.18 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"40-Year-Old Fetus B&W.jpg",".jpg","images\Sketches\Mythical Beings\Mythical Humans\40-Year-Old Fetus B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Mythical Beings\Mythical Humans\40-Year-Old Fetus B&W.jpg","False","456526","445.83 KB","5/9/2026 7:09:58 AM","Candidate for removal later if not needed by bridge"
"Dunny Grin COLOR.jpg",".jpg","images\Sketches\grins\Dunny Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dunny Grin COLOR.jpg","False","456268","445.57 KB","5/8/2026 6:52:45 AM","Candidate for removal later if not needed by bridge"
"series 2 #7 front - BIGFOOTS - Myth Mother Bigfoot - common copy.jpg",".jpg","images\Sketches\bigfoot\series 2 #7 front - BIGFOOTS - Myth Mother Bigfoot - common copy.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #7 front - BIGFOOTS - Myth Mother Bigfoot - common copy.jpg","False","455685","445.00 KB","5/7/2026 6:47:28 AM","Candidate for removal later if not needed by bridge"
"Stitch Grin COLOR.jpg",".jpg","images\Sketches\grins\Stitch Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Stitch Grin COLOR.jpg","False","455420","444.75 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Santa Grin 2 B&W.jpg",".jpg","images\Sketches\grins\Santa Grin 2 B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Santa Grin 2 B&W.jpg","False","454859","444.20 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Grinnie COLOR.jpg",".jpg","images\Sketches\grins\Grinnie COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Grinnie COLOR.jpg","False","454122","443.48 KB","5/8/2026 6:52:45 AM","Candidate for removal later if not needed by bridge"
"img215 (2).jpg",".jpg","images\Sketches\Objects\patterns-symbols-and-icons\img215 (2).jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\patterns-symbols-and-icons\img215 (2).jpg","False","453913","443.27 KB","5/9/2026 11:42:04 AM","Candidate for removal later if not needed by bridge"
"Sugar Diabetic Bear Grin B&W.jpg",".jpg","images\Sketches\grins\Sugar Diabetic Bear Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Sugar Diabetic Bear Grin B&W.jpg","False","453712","443.08 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Salt of the Girth B&W.jpg",".jpg","images\Sketches\celebrity-characters\Morton Salt Girl\Salt of the Girth B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Morton Salt Girl\Salt of the Girth B&W.jpg","False","453607","442.98 KB","5/8/2026 12:20:15 PM","Candidate for removal later if not needed by bridge"
"DEADMAUGrin back COLORS.jpg",".jpg","images\Sketches\grins\DEADMAUGrin back COLORS.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAUGrin back COLORS.jpg","False","453489","442.86 KB","5/7/2026 9:51:19 AM","Candidate for removal later if not needed by bridge"
"Dripping Grin head B&W.jpg",".jpg","images\Sketches\grins\Dripping Grin head B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dripping Grin head B&W.jpg","False","453278","442.65 KB","5/8/2026 6:52:45 AM","Candidate for removal later if not needed by bridge"
"series 1 #6 front - AQUA APES - younger waters - common.jpg",".jpg","images\Sketches\aquatic-dwellers\aqua-apes\series 1 #6 front - AQUA APES - younger waters - common.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\aquatic-dwellers\aqua-apes\series 1 #6 front - AQUA APES - younger waters - common.jpg","False","453226","442.60 KB","5/9/2026 12:16:57 PM","Candidate for removal later if not needed by bridge"
"Scrap Ard side ORIGINAL COLOR.jpg",".jpg","images\Sketches\avians\buzzards\Scrap Ard side ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\avians\buzzards\Scrap Ard side ORIGINAL COLOR.jpg","False","452710","442.10 KB","3/19/2026 3:11:18 PM","Candidate for removal later if not needed by bridge"
"camonew2.pdf_1.jpg",".jpg","images\Sketches\Objects\patterns-symbols-and-icons\camonew2.pdf_1.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\patterns-symbols-and-icons\camonew2.pdf_1.jpg","False","452383","441.78 KB","5/9/2026 11:42:02 AM","Candidate for removal later if not needed by bridge"
