"FileName","Extension","SizeKB","UsedOnAnyGrinsHtmlPage","ProposedCharacter","ProposedPageFile","ProposedSection","PageAlreadyExists","ProposedAction","ReviewNotes","FullPath"
"Sugar Smack Grin COLOR.jpg",".jpg","304.1","False","Sugar Smack Grin","sugar-smack-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Sugar Smack Grin COLOR.jpg"
"Surf Girl Grin ORIGINAL COLOR 2.jpg",".jpg","207.8","False","Surf Girl Grin","surf-girl-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Surf Girl Grin ORIGINAL COLOR 2.jpg"
"Surf Girl Grin ORIGINAL COLOR.jpg",".jpg","96.5","False","Surf Girl Grin","surf-girl-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Surf Girl Grin ORIGINAL COLOR.jpg"
"Taz Grin B&W.jpg",".jpg","400.9","False","Taz Grin","taz-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Taz Grin B&W.jpg"
"Taz Grin circle COLOR.jpg",".jpg","324.1","False","Taz Grin","taz-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Taz Grin circle COLOR.jpg"
"Taz Grin COLOR.jpg",".jpg","291.2","False","Taz Grin","taz-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Taz Grin COLOR.jpg"
"Taz Grin Flower Face ORIGINAL.jpg",".jpg","53.8","False","Taz Grin Flower","taz-grin-flower.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Taz Grin Flower Face ORIGINAL.jpg"
"Techno Kitten Grin B&W.jpg",".jpg","252.4","False","Techno Kitten Grin","techno-kitten-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Techno Kitten Grin B&W.jpg"
"Techno Kitten Grin COLOR.jpg",".jpg","407.9","False","Techno Kitten Grin","techno-kitten-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Techno Kitten Grin COLOR.jpg"
"Teddy Bear Grin ORIGINAL COLOR.jpg",".jpg","100.4","False","Teddy Bear Grin","teddy-bear-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Teddy Bear Grin ORIGINAL COLOR.jpg"
"Teddy Bear Grin Standing B&W.jpg",".jpg","509.9","False","Teddy Bear Grin Standing","teddy-bear-grin-standing.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Teddy Bear Grin Standing B&W.jpg"
"Teddy Bear Grin Standing COLOR.jpg",".jpg","423.7","False","Teddy Bear Grin Standing","teddy-bear-grin-standing.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Teddy Bear Grin Standing COLOR.jpg"
