"ProposedCharacter","ProposedPageFile","PageAlreadyExists","ProposedAction","UnusedFileCount","OriginalDrawingCount","DigitizedVersionsCount","CollectorCardsCount","NeedsReviewCount","Files"
"Mush Man grin","mush-man-grin.html","True","Add to existing page","2","0","2","0","1","Mush Man grin COLOR.jpg | Mush Man Grin side view COLOR.jpg"
"Mutley Grin","mutley-grin.html","True","Add to existing page","2","0","2","0","0","Mutley Grin B&W.jpg | Mutley Grin COLOR.jpg"
"Mutley Grin COLOR.1","mutley-grin-color-1.html","False","Likely create new page","1","0","1","0","0","Mutley Grin COLOR.1.jpg"
"Negative Positive Grin","negative-positive-grin.html","False","Likely create new page","1","1","0","0","1","Negative Positive Grin ORIGINAL COLOR.jpg"
"Ninja Turtle Grin","ninja-turtle-grin.html","True","Add to existing page","2","1","1","0","1","Ninja Turtle Grin B&W.jpg | Ninja Turtle Grin ORIGINAL COLOR.jpg"
"Olive Oil Grin","olive-oil-grin.html","True","Add to existing page","2","0","2","0","0","Olive Oil Grin B&W.jpg | Olive Oil Grin COLOR.jpg"
"Orion Grin","orion-grin.html","True","Add to existing page","12","12","0","0","12","Orion Grin side ORIGINAL Colorway 1.jpg | Orion Grin side ORIGINAL Colorway 10.jpg | Orion Grin side ORIGINAL Colorway 11.jpg | Orion Grin side ORIGINAL Colorway 12.jpg | Orion Grin side ORIGINAL Colorway 2.jpg | Orion Grin side ORIGINAL Colorway 3.jpg | Orion Grin side ORIGINAL Colorway 4.jpg | Orion Grin side ORIGINAL Colorway 5.jpg | Orion Grin side ORIGINAL Colorway 6.jpg | Orion Grin side ORIGINAL Colorway 7.jpg | Orion Grin side ORIGINAL Colorway 8.jpg | Orion Grin side ORIGINAL Colorway 9.jpg"
"Orion Grin side ORIGINAL Colorway 10 (2)","orion-grin-side-original-colorway-10-2.html","False","Likely create new page","1","1","0","0","1","Orion Grin side ORIGINAL Colorway 10 (2).jpg"
"Orion Grin side ORIGINAL Colorway 11 (2)","orion-grin-side-original-colorway-11-2.html","False","Likely create new page","1","1","0","0","1","Orion Grin side ORIGINAL Colorway 11 (2).jpg"
"Orion Grin side ORIGINAL Colorway 9 (2)","orion-grin-side-original-colorway-9-2.html","False","Likely create new page","1","1","0","0","1","Orion Grin side ORIGINAL Colorway 9 (2).jpg"
"Panda Bear Grin","panda-bear-grin.html","True","Add to existing page","1","0","1","0","0","Panda Bear Grin B&W.jpg"
