"Character","Page","Section","File","FullPath"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original Drawing","Li'l Bigfoot with beard three quarters ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard three quarters ORIGINAL.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digitized Versions","Li'l Bigfoot with beard front B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard front B&W.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digitized Versions","Li'l Bigfoot with beard back B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard back B&W.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digitized Versions","Li'l Bigfoot with beard side B&w.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard side B&w.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digitized Versions","Li'l Bigfoot with beard three quarters B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard three quarters B&W.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digitized Versions","Li'l Bigfoot with beard front COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard front COLOR.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digitized Versions","Li'l Bigfoot with beard back COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard back COLOR.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digitized Versions","Li'l Bigfoot with beard side COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard side COLOR.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digitized Versions","Li'l Bigfoot with beard three quarters COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard three quarters COLOR.jpg"
"Myth Mother Bigfoot","myth-mother-bigfoot.html","Digitized Versions","Myth Mother Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Myth Mother Bigfoot B&W.jpg"
"Myth Mother Bigfoot","myth-mother-bigfoot.html","Digitized Versions","Myth Mother Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Myth Mother Bigfoot COLOR.jpg"
"Myth Mother Bigfoot","myth-mother-bigfoot.html","Trading Cards","series 2 #7 front - BIGFOOTS - Myth Mother Bigfoot - common copy.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #7 front - BIGFOOTS - Myth Mother Bigfoot - common copy.jpg"
"Myth Mother Bigfoot","myth-mother-bigfoot.html","Trading Cards","series 2 #7 back - BIGFOOTS - Myth Mother Bigfoot - common.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #7 back - BIGFOOTS - Myth Mother Bigfoot - common.jpg"
"Myth Mother Bigfoot","myth-mother-bigfoot.html","Additional Collector Card","Myth Mother Bigfoot card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Myth Mother Bigfoot card.jpg"
"Washington Bigfoot","washington-bigfoot.html","Original Drawing","Washington Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Washington Bigfoot ORIGINAL.jpg"
"Washington Bigfoot","washington-bigfoot.html","Digitized Versions","Washington Bigfoot B&w.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Washington Bigfoot B&w.jpg"
"Bigfoot Family Icon","bigfoot-family-icon.html","Digitized Versions","Bigfoot Family Icon COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Family Icon COLOR.jpg"
