"Status","Character","Page","Section","File","FullPath"
"Grouped","Li'l Bigfoot","lil-bigfoot.html","Digital","Li'l Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot COLOR.jpg"
"Grouped","Li'l Bigfoot","lil-bigfoot.html","Original","Li'l Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot ORIGINAL.jpg"
"Grouped","Bigfoot Feet","bigfoot-feet.html","Original","Bigfoot feet ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot feet ORIGINAL.jpg"
"Grouped","Urban Bigfoot with Hoodie","urban-bigfoot-with-hoodie.html","Digital","Urban Bigfoot with Hoodie front.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot with Hoodie front.jpg"
"Grouped","Urban Bigfoot with Hoodie","urban-bigfoot-with-hoodie.html","Digital","Urban Bigfoot with Hoodie side.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot with Hoodie side.jpg"
"Grouped","Fake Father Bigfoot","fake-father-bigfoot.html","Card","series 2 #6 front - BIGFOOTS - fake Father Bigfoot - common.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #6 front - BIGFOOTS - fake Father Bigfoot - common.jpg"
"Grouped","Fake Father Bigfoot","fake-father-bigfoot.html","Card","series 2 #6 back - BIGFOOTS - Fake Father Bigfoot - common.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #6 back - BIGFOOTS - Fake Father Bigfoot - common.jpg"
"Grouped","Fake Father Bigfoot","fake-father-bigfoot.html","Card","Fake Father Bigfoot card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Fake Father Bigfoot card.jpg"
"Grouped","Fake Father Bigfoot","fake-father-bigfoot.html","Digital","Fake Father Bigfoot B&w.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Fake Father Bigfoot B&w.jpg"
"Grouped","Fake Father Bigfoot","fake-father-bigfoot.html","Digital","Fake Father Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Fake Father Bigfoot COLOR.jpg"
"Grouped","Fake Father Bigfoot","fake-father-bigfoot.html","Original","Fake Father Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Fake Father Bigfoot ORIGINAL.jpg"
"Grouped","New Urban Bigfoot","new-urban-bigfoot.html","Card","New Urban Bigfoot card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\New Urban Bigfoot card.jpg"
"Grouped","New Urban Bigfoot","new-urban-bigfoot.html","Digital","New Urban Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\New Urban Bigfoot B&W.jpg"
