"Status","SourceFile","OutputFile","SourceSizeKB","OutputSizeKB","Error"
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Falla and Slo Mo B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Falla and Slo Mo B&W.jpg","1972.1","252.8",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Falla and Slo Mo COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Falla and Slo Mo COLOR.jpg","2816.3","236.4",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Falla and Slo Mo ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Falla and Slo Mo ORIGINAL.jpg","3699.1","348",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Falling Rabbbits B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Falling Rabbbits B&W.jpg","1253.1","103",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Falling Rabbbits COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Falling Rabbbits COLOR.jpg","1979.6","192.5",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Falling Rabbbits ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Falling Rabbbits ORIGINAL.jpg","2201.5","156",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Fat Guernica Woman and Baby ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Fat Guernica Woman and Baby ORIGINAL.jpg","2155.7","288.3",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Fish soup 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Fish soup 2.jpg","3523.6","297.1",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Flintstones Guernica 1 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Flintstones Guernica 1 ORIGINAL.jpg","865.8","218",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Flintstones Guernica 2 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Flintstones Guernica 2 ORIGINAL.jpg","933.3","230.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Forlorn Tubby Bunnny B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Forlorn Tubby Bunnny B&W.jpg","2228.4","233.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Forlorn Tubby Bunnny ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Forlorn Tubby Bunnny ORIGINAL.jpg","2290.4","315.5",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Fountain of Reason B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Fountain of Reason B&W.jpg","14812.8","502.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Fountain of Reason COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Fountain of Reason COLOR.jpg","65269.8","527.4",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Fountain of Reason ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Fountain of Reason ORIGINAL.jpg","7586.4","470",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Foxy Clan COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Foxy Clan COLOR.jpg","10721.5","237.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Frog Mount B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Frog Mount B&W.jpg","2137.5","165.1",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Frog Mount COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Frog Mount COLOR.jpg","2873.5","175.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Frog Mount ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Frog Mount ORIGINAL.jpg","1765.2","211.3",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Grinnie and Friends B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Grinnie and Friends B&W.jpg","1642.1","204.4",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Grinnie and Friends COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Grinnie and Friends COLOR.jpg","2706.5","224.5",""
