"ProposedTitle","ProposedSlug","ImageCount","OriginalCount","DigitalCount","SuggestedHero","ReviewFlags","ImageFiles"
"Mouse Riding Dragon","mouse-riding-dragon","3","1","2","Mouse Riding Dragon COLOR.jpg","","Mouse Riding Dragon COLOR.jpg | Mouse Riding Dragon B&W.jpg | Mouse Riding Dragon ORIGINAL.jpg"
"Mousemask and Friends","mousemask-and-friends","1","1","0","Mousemask and Friends ORIGINAL.jpg","","Mousemask and Friends ORIGINAL.jpg"
"My Kid Could Do That","my-kid-could-do-that","1","1","0","My Kid Could Do That ORIGINAL.jpg","","My Kid Could Do That ORIGINAL.jpg"
"Orion, Grinnie, and Elefanka","orion-grinnie-and-elefanka","1","0","1","Orion, Grinnie, and Elefanka B&W.jpg","","Orion, Grinnie, and Elefanka B&W.jpg"
"Paws Falla Swirly","paws-falla-swirly","2","1","1","Paws Falla Swirly B&W.jpg","","Paws Falla Swirly B&W.jpg | Paws Falla Swirly ORIGINAL.jpg"
"Pepe Noveau","pepe-noveau","3","1","2","Pepe Noveau COLOR.jpg","","Pepe Noveau COLOR.jpg | Pepe Noveau B&W.jpg | Pepe Noveau ORIGINAL.jpg"
"Pig Blanket","pig-blanket","3","1","2","Pig Blanket COLOR.jpg","","Pig Blanket COLOR.jpg | Pig Blanket B&W.jpg | Pig Blanket ORIGINAL.jpg"
"Plugmouse","plugmouse","1","1","0","plugmouse ORIGINAL.jpg","","plugmouse ORIGINAL.jpg"
"Potato Comic Pages 1","potato-comic-pages-1","2","1","1","Potato Comic Pages 1 COLOR.jpg","Possible Comic Book Pages category","Potato Comic Pages 1 COLOR.jpg | Potato Comic Pages 1 ORIGINAL.jpg"
"Potato Comic Pages 2","potato-comic-pages-2","2","1","1","Potato Comic Pages 2 COLOR.jpg","Possible Comic Book Pages category","Potato Comic Pages 2 COLOR.jpg | Potato Comic Pages 2 ORIGINAL.jpg"
"Potato Comic Pages 3","potato-comic-pages-3","2","1","1","Potato Comic Pages 3 COLOR.jpg","Possible Comic Book Pages category","Potato Comic Pages 3 COLOR.jpg | Potato Comic Pages 3 ORIGINAL.jpg"
"Potato Comic Pages 4","potato-comic-pages-4","3","1","2","Potato Comic Pages 4 COLOR.jpg","Possible Comic Book Pages category","Potato Comic Pages 4 COLOR.jpg | Potato Comic Pages 4 B&W.jpg | Potato Comic Pages 4 ORIGINAL.jpg"
"Potato Comic Pages Deer","potato-comic-pages-deer","3","1","2","Potato Comic Pages Deer COLOR.jpg","Possible Comic Book Pages category","Potato Comic Pages Deer COLOR.jpg | Potato Comic Pages Deer B&W.jpg | Potato Comic Pages Deer ORIGINAL.jpg"
"Poultry Rex and Bunnnie","poultry-rex-and-bunnnie","1","1","0","Poultry Rex and Bunnnie ORIGINAL.jpg","","Poultry Rex and Bunnnie ORIGINAL.jpg"
"Punk and Forlorn","punk-and-forlorn","1","0","1","punk and forlorn.jpg","","punk and forlorn.jpg"
"Punk Skunk Guernica 1","punk-skunk-guernica-1","1","0","1","Punk Skunk Guernica sketch 1.jpg","Guernica-related","Punk Skunk Guernica sketch 1.jpg"
"Punk Skunk Guernica 2","punk-skunk-guernica-2","1","0","1","Punk Skunk Guernica sketch 2.jpg","Guernica-related","Punk Skunk Guernica sketch 2.jpg"
"Rabbbit Family","rabbbit-family","2","2","0","Rabbbit Family ORIGINAL COLOR.jpg","","Rabbbit Family ORIGINAL COLOR.jpg | Rabbbit Family ORIGINAL.jpg"
"Rabbbit Saucer","rabbbit-saucer","2","0","2","Rabbbit Saucer COLOR.jpg","","Rabbbit Saucer COLOR.jpg | Rabbbit Saucer B&W.jpg"
"Rabbbit TV","rabbbit-tv","1","1","0","Rabbbit TV ORIGINAL.jpg","","Rabbbit TV ORIGINAL.jpg"
"Rabbbits Falling Down the Hole","rabbbits-falling-down-the-hole","24","24","0","Rabbbits Falling Down the Hole ORIGINAL COLOR-0.jpg","","Rabbbits Falling Down the Hole ORIGINAL COLOR-0.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-1.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-10.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-11.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-12.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-13.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-14.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-15.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-16.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-17.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-18.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-19.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-2.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-20.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-21.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-22.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-23.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-3.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-4.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-5.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-6.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-7.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-8.jpg | Rabbbits Falling Down the Hole ORIGINAL COLOR-9.jpg"
"Richmond Guernica 1","richmond-guernica-1","1","1","0","Richmond Guernica 1 ORIGINAL.jpg","Guernica-related","Richmond Guernica 1 ORIGINAL.jpg"
"Richmond Guernica 2","richmond-guernica-2","1","1","0","Richmond Guernica 2 ORIGINAL.jpg","Guernica-related","Richmond Guernica 2 ORIGINAL.jpg"
"Robbie & Mousemask","robbie-and-mousemask","4","1","3","Robbie & Mousemask COLOR.jpg","","Robbie & Mousemask COLOR.jpg | Robbie & Mousemask.jpg | Robbie & Mousemask B&W.jpg | Robbie & Mousemask ORIGINAL.jpg"
"Rock Star Guernica","rock-star-guernica","2","1","1","Rock Star Guernica B&W.jpg","Guernica-related","Rock Star Guernica B&W.jpg | Rock Star Guernica ORIGINAL.jpg"
"Ronnnie Noveau","ronnnie-noveau","2","1","1","Ronnnie Noveau B&W.jpg","","Ronnnie Noveau B&W.jpg | Ronnnie Noveau ORIGINAL.jpg"
"Saturday Morning Cartoon Guernica 1","saturday-morning-cartoon-guernica-1","1","1","0","Saturday Morning Cartoon Guernica sketch 1 ORIGINAL.jpg","Guernica-related","Saturday Morning Cartoon Guernica sketch 1 ORIGINAL.jpg"
"Saturday Morning Cartoon Guernica 2","saturday-morning-cartoon-guernica-2","1","1","0","Saturday Morning Cartoon Guernica sketch 2 ORIGINAL.jpg","Guernica-related","Saturday Morning Cartoon Guernica sketch 2 ORIGINAL.jpg"
"Selfie Guernica","selfie-guernica","1","0","1","Selfie Guernica B&W.jpg","Guernica-related","Selfie Guernica B&W.jpg"
"Selfie Guernica 1","selfie-guernica-1","1","1","0","Selfie Guernica 1 ORIGINAL.jpg","Guernica-related","Selfie Guernica 1 ORIGINAL.jpg"
"Selfie Guernica 2","selfie-guernica-2","1","1","0","Selfie Guernica 2 ORIGINAL.jpg","Guernica-related","Selfie Guernica 2 ORIGINAL.jpg"
"Selfie Guernica 3","selfie-guernica-3","1","1","0","Selfie Guernica 3 ORIGINAL.jpg","Guernica-related","Selfie Guernica 3 ORIGINAL.jpg"
