"File","RelativePath","FullPath","WillChange","Backup","Status"
"cereb-raul.html","Sketches\aliens\cereb-raul.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cereb-raul.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cereb-raul.html.bak-centering-20260507-142124","Updated"
"charlie-brown-alien.html","Sketches\aliens\charlie-brown-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\charlie-brown-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\charlie-brown-alien.html.bak-centering-20260507-142124","Updated"
"cheer-breeder.html","Sketches\aliens\cheer-breeder.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cheer-breeder.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cheer-breeder.html.bak-centering-20260507-142124","Updated"
"clegg-bleater.html","Sketches\aliens\clegg-bleater.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\clegg-bleater.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\clegg-bleater.html.bak-centering-20260507-142124","Updated"
"cloud-cover.html","Sketches\aliens\cloud-cover.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cloud-cover.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cloud-cover.html.bak-centering-20260507-142124","Updated"
"codextra-manasser.html","Sketches\aliens\codextra-manasser.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\codextra-manasser.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\codextra-manasser.html.bak-centering-20260507-142124","Updated"
"cosmet-raith.html","Sketches\aliens\cosmet-raith.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cosmet-raith.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cosmet-raith.html.bak-centering-20260507-142124","Updated"
"cosmic-karla.html","Sketches\aliens\cosmic-karla.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cosmic-karla.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cosmic-karla.html.bak-centering-20260507-142124","Updated"
"cosmo-polite.html","Sketches\aliens\cosmo-polite.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cosmo-polite.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cosmo-polite.html.bak-centering-20260507-142124","Updated"
"cosmo-politian.html","Sketches\aliens\cosmo-politian.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cosmo-politian.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cosmo-politian.html.bak-centering-20260507-142124","Updated"
"cosmo-titian.html","Sketches\aliens\cosmo-titian.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cosmo-titian.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cosmo-titian.html.bak-centering-20260507-142124","Updated"
"crash-helmet.html","Sketches\aliens\crash-helmet.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\crash-helmet.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\crash-helmet.html.bak-centering-20260507-142124","Updated"
"crockmonster.html","Sketches\aliens\crockmonster.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\crockmonster.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\crockmonster.html.bak-centering-20260507-142124","Updated"
"cronik-comet.html","Sketches\aliens\cronik-comet.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cronik-comet.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cronik-comet.html.bak-centering-20260507-142124","Updated"
"curious-hauge.html","Sketches\aliens\curious-hauge.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\curious-hauge.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\curious-hauge.html.bak-centering-20260507-142124","Updated"
"cybor-external.html","Sketches\aliens\cybor-external.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cybor-external.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cybor-external.html.bak-centering-20260507-142124","Updated"
"deep-drowned-alien.html","Sketches\aliens\deep-drowned-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\deep-drowned-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\deep-drowned-alien.html.bak-centering-20260507-142124","Updated"
"demi-mondain.html","Sketches\aliens\demi-mondain.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\demi-mondain.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\demi-mondain.html.bak-centering-20260507-142124","Updated"
"didicoy-vagrant.html","Sketches\aliens\didicoy-vagrant.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\didicoy-vagrant.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\didicoy-vagrant.html.bak-centering-20260507-142124","Updated"
"di-zygus.html","Sketches\aliens\di-zygus.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\di-zygus.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\di-zygus.html.bak-centering-20260507-142124","Updated"
"dj-alien-angel.html","Sketches\aliens\dj-alien-angel.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\dj-alien-angel.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\dj-alien-angel.html.bak-centering-20260507-142124","Updated"
"dwell-cogo.html","Sketches\aliens\dwell-cogo.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\dwell-cogo.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\dwell-cogo.html.bak-centering-20260507-142124","Updated"
"egg-spaceship.html","Sketches\aliens\egg-spaceship.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\egg-spaceship.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\egg-spaceship.html.bak-centering-20260507-142124","Updated"
"elated-xtra-terrestrial.html","Sketches\aliens\elated-xtra-terrestrial.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\elated-xtra-terrestrial.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\elated-xtra-terrestrial.html.bak-centering-20260507-142124","Updated"
"electropia-exotropia.html","Sketches\aliens\electropia-exotropia.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\electropia-exotropia.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\electropia-exotropia.html.bak-centering-20260507-142124","Updated"
"elexacon-angel.html","Sketches\aliens\elexacon-angel.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\elexacon-angel.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\elexacon-angel.html.bak-centering-20260507-142124","Updated"
"empty-suit-alien.html","Sketches\aliens\empty-suit-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\empty-suit-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\empty-suit-alien.html.bak-centering-20260507-142124","Updated"
"empyreambler.html","Sketches\aliens\empyreambler.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\empyreambler.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\empyreambler.html.bak-centering-20260507-142124","Updated"
"equinoxious.html","Sketches\aliens\equinoxious.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\equinoxious.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\equinoxious.html.bak-centering-20260507-142124","Updated"
"equinoxious-2.html","Sketches\aliens\equinoxious-2.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\equinoxious-2.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\equinoxious-2.html.bak-centering-20260507-142124","Updated"
"e-t-banditti.html","Sketches\aliens\e-t-banditti.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\e-t-banditti.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\e-t-banditti.html.bak-centering-20260507-142124","Updated"
"eternal-bernal.html","Sketches\aliens\eternal-bernal.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\eternal-bernal.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\eternal-bernal.html.bak-centering-20260507-142124","Updated"
"etymogual-benedictus.html","Sketches\aliens\etymogual-benedictus.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\etymogual-benedictus.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\etymogual-benedictus.html.bak-centering-20260507-142124","Updated"
"eve-alien.html","Sketches\aliens\eve-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\eve-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\eve-alien.html.bak-centering-20260507-142124","Updated"
"extratron-gallexyz.html","Sketches\aliens\extratron-gallexyz.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\extratron-gallexyz.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\extratron-gallexyz.html.bak-centering-20260507-142124","Updated"
"eyesove-tismas.html","Sketches\aliens\eyesove-tismas.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\eyesove-tismas.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\eyesove-tismas.html.bak-centering-20260507-142124","Updated"
"eye-speak-alien.html","Sketches\aliens\eye-speak-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\eye-speak-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\eye-speak-alien.html.bak-centering-20260507-142124","Updated"
"fabian-alien.html","Sketches\aliens\fabian-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fabian-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fabian-alien.html.bak-centering-20260507-142124","Updated"
"feline-nine-alien.html","Sketches\aliens\feline-nine-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\feline-nine-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\feline-nine-alien.html.bak-centering-20260507-142124","Updated"
"fetal-deceit-phil.html","Sketches\aliens\fetal-deceit-phil.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fetal-deceit-phil.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fetal-deceit-phil.html.bak-centering-20260507-142124","Updated"
"fetal-fraxulus.html","Sketches\aliens\fetal-fraxulus.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fetal-fraxulus.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fetal-fraxulus.html.bak-centering-20260507-142124","Updated"
"fishbowl-ufo.html","Sketches\aliens\fishbowl-ufo.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fishbowl-ufo.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fishbowl-ufo.html.bak-centering-20260507-142124","Updated"
"fish-bulb-alien.html","Sketches\aliens\fish-bulb-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fish-bulb-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fish-bulb-alien.html.bak-centering-20260507-142124","Updated"
"flavorpee-zronback.html","Sketches\aliens\flavorpee-zronback.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\flavorpee-zronback.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\flavorpee-zronback.html.bak-centering-20260507-142124","Updated"
"fleshire-gwyn.html","Sketches\aliens\fleshire-gwyn.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fleshire-gwyn.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\fleshire-gwyn.html.bak-centering-20260507-142124","Updated"
"flexulus.html","Sketches\aliens\flexulus.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\flexulus.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\flexulus.html.bak-centering-20260507-142124","Updated"
"flushal-recokon.html","Sketches\aliens\flushal-recokon.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\flushal-recokon.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\flushal-recokon.html.bak-centering-20260507-142124","Updated"
"forgon-intruder.html","Sketches\aliens\forgon-intruder.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\forgon-intruder.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\forgon-intruder.html.bak-centering-20260507-142124","Updated"
"frazier-razor.html","Sketches\aliens\frazier-razor.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\frazier-razor.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\frazier-razor.html.bak-centering-20260507-142124","Updated"
"freakachu-alien.html","Sketches\aliens\freakachu-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\freakachu-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\freakachu-alien.html.bak-centering-20260507-142124","Updated"
