"Position","Title","Href","ImageFile","Key","HrefExists","ImageExists","Score"
"106","Flying Grinnie","flying-grinnie.html","Flying Grinnie ORIGINAL.png","flyinggrinnie","True","True","1219.9894"
"107","Foot in Mouth","foot-in-mouth.html","Foot in Mouth ORIGINAL COLOR.jpg","footinmouth","True","True","1289.9893"
"108","Football Grin","football-grin.html","Football Grin ORIGINAL.jpg","footballgrin","True","True","1219.9892"
"109","Football Player Grin","football-player-grin.html","Football Player Grin ORIGINAL.jpg","footballplayergrin","True","True","1219.9891"
"110","Franken Fat Grin","franken-fat-grin.html","Franken Fat Grin ORIGINAL.jpg","frankenfatgrin","True","True","1219.989"
"111","Franken Grin","franken-grin.html","Franken Grin COLOR.png","frankengrin","True","True","1319.9889"
"112","Freak Bro Afro Stache","freak-bro-afro-stache.html","Freak Bro Afro Stache ORIGINAL.jpg","freakbroafrostache","True","True","1219.9888"
"113","Freak Bro Grin","freak-bro-grin.html","Freak Bro Grin ORIGINAL.jpg","freakbrogrin","True","True","1219.9887"
"114","Freak Cat","freak-cat.html","Freak Cat ORIGINAL.jpg","freakcat","True","True","1219.9886"
"115","Freddy Funko Grin","freddy-funko-grin.html","Freddy Funko Grin COLOR.jpg","freddyfunkogrin","True","True","1319.9885"
"116","Freddy Funko Grin 2","freddy-funko-grin-2.html","Freddy Funko Grin 2 COLOR.jpg","freddyfunkogrin2","True","True","1319.9884"
"117","Garfield Grin","garfield-grin.html","Garfield Grin ORIGINAL.jpg","garfieldgrin","True","True","1219.9883"
"118","George Jetson Grin","george-jetson-grin.html","George Jetson Grin ORIGINAL.jpg","georgejetsongrin","True","True","1219.9882"
"119","Ghostbuster Grin","ghostbuster-grin.html","Ghostbuster Grin ORIGINAL.jpg","ghostbustergrin","True","True","1219.9881"
"120","Globe Grin","globe-grin.html","Globe Grin ORIGINAL COLOR.jpg","globegrin","True","True","1289.988"
"121","Godzilla Heart Grin","godzilla-heart-grin.html","Godzilla Heart Grin ORIGINAL.jpg","godzillaheartgrin","True","True","1219.9879"
"122","Gorilla grin","gorilla-grin.html","Gorilla Grin ORIGINAL COLOR 1.jpg","gorillagrin","True","True","1289.9878"
"123","Gorilla Grin 2","gorilla-grin-2.html","Gorilla Grin 2 back ORIGINAL.jpg","gorillagrin2","True","True","1219.9877"
"124","Grim Grin","grim-grin.html","Grim Grin ORIGINAL COLOR.jpg","grimgrin","True","True","1289.9876"
"125","Grim Grin (Grin Reaper)","grim-grin-grin-reaper.html","Grim Grin (Grin Reaper) ORIGINAL.jpg","grimgringrinreaper","True","True","1219.9875"
"126","Grim Reaper Grin","grim-reaper-grin.html","Grim Reaper Grin ORIGINAL 2.jpg","grimreapergrin","True","True","1219.9874"
"127","Grim Reefer","grim-reefer.html","Grim Reefer ORIGINAL COLOR.jpg","grimreefer","True","True","1289.9873"
"128","Grin","grin.html","Grin B&W.jpg","grin","True","True","1249.9872"
"129","Grin animation","grin-animation.html","Grin animation front ORIGINAL.jpg","grinanimation","True","True","1219.9871"
"130","Grin Animation front B&W (1)","grin-animation-front-b-and-w-1.html","Grin Animation front B&W (1).jpg","grinanimationfrontbandw1","True","True","1249.987"
"131","Grin Animation side B&W (1)","grin-animation-side-b-and-w-1.html","Grin Animation side B&W (1).jpg","grinanimationsidebandw1","True","True","1249.9869"
"132","Grin Baby","grin-baby.html","Grin Baby ORIGINAL.jpg","grinbaby","True","True","1219.9868"
"133","Grin Brain Cone","grin-brain-cone.html","Grin Brain Cone ORIGINAL.jpg","grinbraincone","True","True","1219.9867"
